"final_date","final_open","final_close","final_high","final_low"
"1/1/2021",28795,32164,32427.5,28320
"1/3/2021 0:15",32169,34500,34888,30475
"1/3/2021 20:00",34491,29081.5,34701.5,27667.5
"1/4/2021 18:30",29063,31888.5,32921,28825.5
"1/5/2021 20:15",31896,35780,36225,31151.5
"1/7/2021 3:30",35782.5,38958.5,40586,34304.5
"1/8/2021 3:00",38966,40864,41254.5,36610.5
"1/8/2021 19:00",40855.5,40332,42128,38639
"1/9/2021 9:00",40340,39402,41551,38576
"1/10/2021 19:45",39390,35323,40200,34783
"1/11/2021 11:30",35285,33579,36425,32394
"1/11/2021 21:45",33582,35819,36400,30335
"1/12/2021 15:15",35822,34413,36700,32383
"1/13/2021 20:00",34430,38772,40220,34041
"1/15/2021 6:00",38775,37170,39766,34369
"1/16/2021 9:00",37181,36164,38015,33807
"1/18/2021 10:00",36202,35066,37936,34771
"1/20/2021 12:00",35054,31450,35997,31018
"1/21/2021 23:30",31475,32188,32807,28815
"1/23/2021 1:45",32194,34513,34902,30929
"1/25/2021 23:00",34513,30620,34661,30365
"1/27/2021 20:30",30613,33958,34000,29288
"1/29/2021 8:15",33974,36166,38750,32012
"1/30/2021 1:15",36129,32977,36547,32215
"2/1/2021 9:30",32965,36659,36947,32859
"2/3/2021 15:00",36656,37843,38879,35622
"2/5/2021 16:15",37838,39349,41050,37264
"2/7/2021 8:15",39346,44139,45223,37380
"2/8/2021 21:30",44147,47022,47674,42664
"2/9/2021 14:15",47045,45200,48371,44110
"2/10/2021 20:45",45185,47958,48694,43716
"2/12/2021 0:15",47943,47940,49300,46171
"2/13/2021 0:30",47974,49410,49578,46231
"2/14/2021 14:15",49438,47817,49914,45913
"2/15/2021 22:45",47808,48483,51000,47122
"2/17/2021 2:30",48492,52499,52800,48201
"2/18/2021 8:45",52500,54522,54950,50759
"2/20/2021 1:15",54521,55699,57657,54000
"2/21/2021 7:30",55700,56295,58577,55150
"2/22/2021 16:30",56295,52979,56328,47616
"2/22/2021 23:30",52992,47471,55050,47394
"2/23/2021 16:30",47417,48697,49616,44777
"2/23/2021 23:30",48671,50482,51473,45215
"2/24/2021 21:15",50469,51111,52178,48000
"2/25/2021 23:15",51111,45450,51456,44100
"2/26/2021 16:15",45486,46523,48488,45078
"2/27/2021 17:15",46514,44435,47899,43536
"2/28/2021 22:45",44433,48882,48997,42553
"3/1/2021 23:30",48893,47352,50495,47145
"3/3/2021 3:15",47351,51422,52705,47091
"3/4/2021 9:15",51422,46900,51834,46700
"3/5/2021 8:30",46897,48777,49500,46237
"3/6/2021 7:30",48792,50697,51452,47061
"3/8/2021 2:45",50690,52454,52693,49350
"3/9/2021 9:15",52448,54062,55975,52448
"3/10/2021 14:45",54061,55621,57500,53806
"3/11/2021 13:15",55614,58047,58335,54307
"3/12/2021 7:15",58063,56531,58285,55000
"3/13/2021 4:30",56528,61227,61368,56099
"3/14/2021 4:15",61230,59837,61925,58737
"3/15/2021 8:45",59836,56786,60743,54764
"3/15/2021 21:45",56791,54853,57327,53267
"3/16/2021 20:45",54842,55117,57328,54130
"3/17/2021 23:15",55107,58408,59705,54684
"3/18/2021 23:30",58408,59078,60200,56244
"3/19/2021 23:45",59078,57721,59999,57597
"3/21/2021 10:45",57706,58094,58220,55490
"3/22/2021 18:15",58079,53354,58500,53089
"3/23/2021 13:30",53323,56529,56725,52948
"3/24/2021 17:30",56525,52398,57258,51471
"3/25/2021 12:30",52398,52145,53227,50446
"3/26/2021 6:45",52153,54919,55650,51243
"3/27/2021 13:30",54927,55224,56790,54050
"3/29/2021 13:15",55224,59225,59567,54980
"3/30/2021 19:45",59220,59267,60029,56927
"4/1/2021 1:15",59267,59845,60445,58000
"4/2/2021 11:00",60107,58149,60233,57839
"4/4/2021 5:00",58136,59294,59299,56505
"4/5/2021 23:00",59370,58371,59689,57269
"4/7/2021 14:15",58365,57271,58474,55490
"4/8/2021 14:15",57271,59117,59295,56364
"4/10/2021 11:45",59116,59806,61750,58300
"4/11/2021 15:00",59805,60114,61565,59266
"4/12/2021 23:45",60168,63705,63895,59706
"4/13/2021 23:45",63709,63943,65163,62666
"4/14/2021 22:00",63924,63319,63943,61100
"4/15/2021 14:15",63319,61511,64000,61002
"4/16/2021 15:30",61518,60797,62600,60041
"4/17/2021 21:30",60807,53643,61299,50041
"4/18/2021 11:45",53656,54636,56675,52496
"4/18/2021 17:30",54592,56860,57400,53155
"4/19/2021 14:15",56852,54913,57649,53647
"4/20/2021 12:15",54898,56969,57240,53353
"4/21/2021 4:45",56969,54859,57270,54270
"4/22/2021 6:15",54859,53358,55532,52468
"4/23/2021 2:15",53376,49988,53608,48672
"4/23/2021 11:30",49973,50119,51307,47500
"4/24/2021 8:30",50124,50323,51094,48733
"4/26/2021",50323,53730,54066,47000
"4/26/2021 22:15",53737,54928,55439,52601
"4/28/2021 1:30",54927,53866,56600,53577
"4/29/2021 13:15",53866,56851,57101,52369
"4/30/2021 23:30",56857,56265,58609,56102
"5/2/2021 17:30",56255,56686,59074,56158
"5/4/2021 8:45",56672,54331,56799,53222
"5/5/2021 3:15",54330,57625,57772,52942
"5/6/2021",57668,55752,58499,55523
"5/7/2021 3:15",55702,58346,58835,55265
"5/8/2021 12:45",58346,57889,59677,57618
"5/9/2021 18:30",57889,57255,59751,56292
"5/10/2021 23:15",57249,54711,58777,53617
"5/11/2021 11:00",54721,56416,58083,54556
"5/12/2021 18:15",56402,52211,56988,51460
"5/13/2021 6:45",52239,49796,52897,46313
"5/13/2021 11:15",49820,48681,51347,48413
"5/14/2021 1:00",48660,50495,51052,46926
"5/14/2021 20:15",50495,49199,51590,47765
"5/15/2021 21:15",49199,48322,49927,46427
"5/16/2021 22:45",48337,46096,48473,43858
"5/17/2021 8:15",46115,45146,46400,42180
"5/17/2021 17:45",45145,42959,45841,42124
